tag,accuracy,sample_size
VB,38.18181818181819,250
N,9.473684210526317,250
PUNCT,0.0,250
PRO,68.42105263157895,250
start,0.0,250
stop,0.0,250
DD,57.77777777777777,250
ADV,51.21951219512195,250
CONJ,62.16216216216216,250
AP,70.58823529411765,250
ADJ,0.0,250
DI,9.090909090909092,250
PART,50.0,250
DPOS,0.0,250
WH,0.0,250
NUM,0.0,250
VB,47.91666666666667,500
PUNCT,0.0,500
N,47.22222222222222,500
PRO,79.67479674796748,500
start,0.0,500
stop,0.0,500
ADV,58.58585858585859,500
DD,68.18181818181817,500
CONJ,65.21739130434783,500
AP,82.75862068965517,500
ADJ,11.904761904761903,500
DI,50.0,500
DPOS,18.75,500
PART,84.61538461538461,500
WH,14.285714285714285,500
NUM,0.0,500
INTJ,0.0,500
VB,52.78688524590164,750
PUNCT,0.0,750
N,49.122807017543856,750
PRO,86.58536585365853,750
start,0.0,750
stop,0.0,750
ADV,54.14012738853503,750
DD,67.11409395973155,750
CONJ,70.24793388429752,750
AP,86.25,750
ADJ,15.625,750
PART,89.28571428571429,750
DI,29.629629629629626,750
DPOS,44.0,750
WH,0.0,750
NUM,0.0,750
INTJ,0.0,750
VB,47.09480122324159,1000
PUNCT,0.0,1000
N,50.37037037037037,1000
PRO,91.70305676855895,1000
start,0.0,1000
stop,0.0,1000
ADV,61.36363636363637,1000
DD,88.73239436619718,1000
AP,82.5,1000
CONJ,65.76576576576578,1000
ADJ,19.444444444444446,1000
DI,41.935483870967744,1000
DPOS,51.85185185185185,1000
PART,92.0,1000
WH,50.0,1000
NUM,0.0,1000
DW,0.0,1000
INTJ,0.0,1000
VB,59.57446808510638,1500
PUNCT,0.0,1500
N,51.08695652173913,1500
PRO,86.57142857142858,1500
start,0.0,1500
stop,0.0,1500
ADV,62.251655629139066,1500
DD,81.94444444444444,1500
CONJ,74.5,1500
AP,85.63218390804597,1500
ADJ,18.97810218978102,1500
DI,46.774193548387096,1500
DPOS,57.6271186440678,1500
PART,100.0,1500
WH,38.88888888888889,1500
NUM,8.333333333333332,1500
INTJ,0.0,1500
DW,0.0,1500
XX,0.0,1500
VB,47.07602339181287,2000
PUNCT,0.0,2000
N,56.685499058380415,2000
start,0.0,2000
stop,0.0,2000
PRO,87.41092636579573,2000
ADV,63.2768361581921,2000
DD,84.34504792332268,2000
CONJ,80.61674008810573,2000
AP,87.90697674418605,2000
ADJ,42.138364779874216,2000
DI,54.285714285714285,2000
DPOS,73.68421052631578,2000
PART,92.45283018867924,2000
NUM,0.0,2000
WH,50.0,2000
INTJ,0.0,2000
DW,0.0,2000
XX,0.0,2000
VB,53.89408099688473,2500
PUNCT,0.0,2500
N,55.47703180212014,2500
start,0.0,2500
stop,0.0,2500
PRO,92.97012302284709,2500
ADV,67.9245283018868,2500
DD,86.22129436325679,2500
AP,86.7231638418079,2500
CONJ,76.45348837209302,2500
ADJ,27.038626609442062,2500
DI,67.36842105263158,2500
DPOS,62.06896551724138,2500
PART,93.10344827586206,2500
WH,56.666666666666664,2500
NUM,8.333333333333332,2500
INTJ,0.0,2500
DW,0.0,2500
VB,60.34816247582205,3000
PUNCT,0.0,3000
N,55.94965675057209,3000
start,0.0,3000
stop,0.0,3000
PRO,92.39302694136292,3000
ADV,71.45522388059702,3000
DD,87.67676767676768,3000
CONJ,73.1829573934837,3000
AP,91.92200557103064,3000
ADJ,23.75,3000
DI,50.442477876106196,3000
DPOS,50.0,3000
PART,88.40579710144928,3000
WH,6.666666666666667,3000
NUM,4.545454545454546,3000
DW,0.0,3000
INTJ,0.0,3000
XX,0.0,3000
VB,60.770440251572325,3500
start,0.0,3500
stop,0.0,3500
PUNCT,0.0,3500
N,60.47227926078029,3500
PRO,89.25294888597641,3500
ADV,70.93596059113301,3500
DD,87.93418647166362,3500
CONJ,77.5330396475771,3500
AP,89.65517241379311,3500
ADJ,22.635135135135133,3500
DI,65.18518518518519,3500
DPOS,81.66666666666667,3500
PART,93.61702127659575,3500
NUM,33.33333333333333,3500
WH,64.51612903225806,3500
INTJ,0.0,3500
XX,0.0,3500
DW,0.0,3500
start,0.0,4000
stop,0.0,4000
VB,65.3372008701958,4000
PUNCT,0.0,4000
N,59.086757990867575,4000
PRO,90.40590405904058,4000
DD,89.0625,4000
ADV,73.69255150554676,4000
CONJ,73.28094302554028,4000
AP,88.86138613861387,4000
ADJ,25.477707006369428,4000
DI,60.256410256410255,4000
DPOS,84.44444444444444,4000
PART,93.20388349514563,4000
NUM,26.923076923076923,4000
WH,68.18181818181817,4000
DW,0.0,4000
INTJ,0.0,4000
XX,0.0,4000
start,0.0,4500
stop,0.0,4500
VB,71.72774869109948,4500
PUNCT,0.0,4500
N,56.27498001598721,4500
PRO,91.03232533889468,4500
ADV,75.79214195183776,4500
DD,87.51696065128901,4500
CONJ,79.79966611018364,4500
AP,89.25619834710744,4500
ADJ,35.400516795865634,4500
DI,71.66666666666667,4500
DPOS,78.37837837837837,4500
PART,95.23809523809523,4500
WH,52.27272727272727,4500
