tag,accuracy,sample_size
N,76.40449438202246,250
VB,42.675159235668794,250
PRO,91.72413793103448,250
P,91.04477611940298,250
start,0.0,250
stop,0.0,250
JAH,0.0,250
CONJ,95.55555555555556,250
ADJ,26.47058823529412,250
ADV,38.88888888888889,250
XX,0.0,250
DU,0.0,250
NI,0.0,250
NUM,0.0,250
N,67.56756756756756,500
VB,72.08588957055214,500
PRO,91.25874125874127,500
P,99.12280701754386,500
start,0.0,500
stop,0.0,500
ADJ,50.0,500
CONJ,96.15384615384616,500
JAH,0.0,500
ADV,64.28571428571429,500
XX,0.0,500
NI,0.0,500
DU,0.0,500
NUM,0.0,500
NIH,0.0,500
PART,0.0,500
VB,71.51051625239006,750
N,74.15506958250498,750
PRO,91.50485436893204,750
start,0.0,750
stop,0.0,750
CONJ,90.1840490797546,750
P,96.25,750
JAH,0.0,750
ADJ,57.04225352112676,750
ADV,71.875,750
XX,0.0,750
NI,0.0,750
DU,0.0,750
NUM,0.0,750
PART,33.33333333333333,750
NIH,0.0,750
N,78.50746268656717,1000
VB,71.99391171993912,1000
PRO,95.07042253521126,1000
start,0.0,1000
stop,0.0,1000
P,96.3265306122449,1000
CONJ,93.57798165137615,1000
JAH,0.0,1000
ADJ,51.9774011299435,1000
ADV,71.42857142857143,1000
XX,0.0,1000
NI,0.0,1000
DU,0.0,1000
NIH,0.0,1000
NUM,0.0,1000
PART,0.0,1000
INTJ,0.0,1000
N,78.69318181818183,1500
VB,79.82873453853473,1500
PRO,95.76470588235294,1500
start,0.0,1500
stop,0.0,1500
CONJ,91.08635097493037,1500
P,96.35258358662614,1500
JAH,0.0,1500
ADJ,69.0909090909091,1500
ADV,76.40449438202246,1500
XX,0.0,1500
NI,0.0,1500
DU,0.0,1500
NUM,45.45454545454545,1500
NIH,0.0,1500
PART,0.0,1500
INTJ,0.0,1500
VB,77.77777777777779,2000
N,86.12585291887794,2000
PRO,97.14022140221402,2000
start,0.0,2000
stop,0.0,2000
P,96.46569646569647,2000
CONJ,85.9375,2000
JAH,0.0,2000
ADJ,68.29971181556196,2000
ADV,84.15841584158416,2000
XX,0.0,2000
NI,0.0,2000
DU,0.0,2000
NUM,70.58823529411765,2000
NIH,0.0,2000
PART,60.0,2000
INTJ,0.0,2000
VB,81.89415041782729,2500
N,83.5995085995086,2500
PRO,97.11267605633803,2500
start,0.0,2500
stop,0.0,2500
CONJ,91.85840707964601,2500
P,94.6524064171123,2500
JAH,0.0,2500
ADJ,71.30801687763713,2500
ADV,83.09859154929578,2500
XX,0.0,2500
NI,0.0,2500
DU,0.0,2500
NUM,37.5,2500
NIH,0.0,2500
PART,33.33333333333333,2500
INTJ,0.0,2500
VB,82.88329519450801,3000
N,83.93881453154876,3000
start,0.0,3000
stop,0.0,3000
PRO,95.4123112659698,3000
CONJ,94.4074567243675,3000
P,96.32352941176471,3000
JAH,0.0,3000
ADJ,74.27007299270073,3000
ADV,80.31914893617021,3000
NI,0.0,3000
XX,0.0,3000
DU,0.0,3000
NUM,65.78947368421053,3000
NIH,0.0,3000
PART,83.33333333333334,3000
INTJ,0.0,3000
start,0.0,3500
stop,0.0,3500
VB,85.59903186768858,3500
N,87.5,3500
PRO,96.53788258906172,3500
CONJ,91.22373300370829,3500
P,95.527950310559,3500
JAH,0.0,3500
ADJ,73.04747320061256,3500
ADV,83.6644591611479,3500
XX,0.0,3500
NI,0.0,3500
DU,0.0,3500
NUM,78.26086956521739,3500
NIH,0.0,3500
PART,64.28571428571429,3500
