tag,accuracy,sample_size
VB,42.22222222222222,250
PUNCT,0.0,250
N,35.9375,250
D,42.62295081967213,250
ADV,19.607843137254903,250
start,0.0,250
stop,0.0,250
PRO,72.91666666666666,250
CONJ,74.19354838709677,250
ADJ,0.0,250
AP,61.53846153846154,250
WH,11.11111111111111,250
PART,33.33333333333333,250
NUM,0.0,250
VB,56.81818181818182,500
PUNCT,0.0,500
N,30.37037037037037,500
start,0.0,500
stop,0.0,500
PRO,83.50515463917526,500
D,68.47826086956522,500
ADV,45.88235294117647,500
CONJ,66.66666666666666,500
AP,70.37037037037037,500
ADJ,4.545454545454546,500
WH,26.31578947368421,500
PART,100.0,500
NUM,0.0,500
INTJ,0.0,500
PUNCT,0.0,750
VB,53.608247422680414,750
N,48.91774891774892,750
PRO,87.5,750
ADV,59.25925925925925,750
D,76.12903225806451,750
start,0.0,750
stop,0.0,750
CONJ,73.77049180327869,750
AP,87.03703703703704,750
ADJ,2.247191011235955,750
WH,17.94871794871795,750
PART,94.5945945945946,750
NUM,0.0,750
INTJ,0.0,750
XX,0.0,750
VB,53.825857519788926,1000
PUNCT,0.0,1000
N,42.805755395683455,1000
start,0.0,1000
stop,0.0,1000
PRO,87.1559633027523,1000
ADV,58.5,1000
D,78.125,1000
CONJ,62.59541984732825,1000
AP,85.04672897196261,1000
ADJ,6.862745098039216,1000
WH,41.86046511627907,1000
PART,90.625,1000
NUM,0.0,1000
INTJ,0.0,1000
VB,54.891304347826086,1500
PUNCT,0.0,1500
N,56.65961945031712,1500
D,77.67857142857143,1500
start,0.0,1500
stop,0.0,1500
PRO,87.45762711864407,1500
ADV,63.6734693877551,1500
CONJ,75.0,1500
AP,89.44444444444444,1500
ADJ,16.030534351145036,1500
WH,44.5945945945946,1500
PART,94.73684210526316,1500
NUM,0.0,1500
XX,0.0,1500
INTJ,0.0,1500
VB,52.26939970717424,2000
PUNCT,0.0,2000
N,56.09348914858096,2000
start,0.0,2000
stop,0.0,2000
PRO,86.05200945626478,2000
D,80.09478672985783,2000
ADV,71.35549872122762,2000
CONJ,75.2851711026616,2000
AP,87.71186440677965,2000
ADJ,27.647058823529413,2000
WH,52.17391304347826,2000
PART,98.36065573770492,2000
NUM,0.0,2000
INTJ,40.0,2000
XX,0.0,2000
VB,66.38023630504833,2500
PUNCT,0.0,2500
N,59.52045133991537,2500
start,0.0,2500
stop,0.0,2500
PRO,91.99288256227756,2500
D,86.56429942418427,2500
ADV,72.2672064777328,2500
CONJ,72.83582089552239,2500
AP,88.5304659498208,2500
ADJ,19.24882629107981,2500
WH,51.798561151079134,2500
PART,95.16129032258064,2500
NUM,18.181818181818183,2500
INTJ,0.0,2500
XX,0.0,2500
VB,61.40684410646388,3000
PUNCT,0.0,3000
start,0.0,3000
stop,0.0,3000
N,59.88235294117648,3000
PRO,90.49128367670365,3000
D,83.78378378378379,3000
ADV,68.43100189035917,3000
CONJ,77.32696897374701,3000
AP,92.7927927927928,3000
ADJ,39.25925925925926,3000
WH,57.05128205128205,3000
PART,97.61904761904762,3000
NUM,9.090909090909092,3000
INTJ,0.0,3000
start,0.0,3500
stop,0.0,3500
VB,66.96349065004452,3500
PUNCT,0.0,3500
N,62.70447110141767,3500
PRO,91.3946587537092,3500
D,83.77125193199382,3500
ADV,73.47670250896059,3500
CONJ,74.69287469287468,3500
AP,88.79310344827587,3500
ADJ,16.33986928104575,3500
WH,53.42465753424658,3500
PART,95.0,3500
NUM,0.0,3500
INTJ,0.0,3500
XX,0.0,3500
start,0.0,4000
stop,0.0,4000
VB,67.621776504298,4000
PUNCT,0.0,4000
N,61.72291296625222,4000
PRO,91.51785714285714,4000
D,86.89740420271941,4000
ADV,69.64539007092199,4000
CONJ,78.40466926070039,4000
AP,88.66666666666667,4000
ADJ,27.88732394366197,4000
