tag,accuracy,sample_size
N,69.7841726618705,250
VB,62.85714285714285,250
start,0.0,250
stop,0.0,250
PUNCT,0.0,250
ADV,87.03703703703704,250
PRO,97.77777777777776,250
ADJ,19.51219512195122,250
D,84.61538461538461,250
P,68.42105263157895,250
PRO$,81.25,250
CONJ,86.66666666666667,250
Q,26.666666666666668,250
C,41.66666666666667,250
WH,33.33333333333333,250
PART,0.0,250
NEG,100.0,250
XX,0.0,250
NUM,0.0,250
N,73.58974358974359,500
VB,62.93436293436293,500
PUNCT,0.0,500
start,0.0,500
stop,0.0,500
ADV,85.81560283687944,500
PRO,93.93939393939394,500
D,79.33884297520662,500
P,94.21487603305783,500
ADJ,47.31182795698925,500
C,66.66666666666666,500
PRO$,78.57142857142857,500
Q,75.0,500
CONJ,94.73684210526316,500
NEG,100.0,500
WH,28.57142857142857,500
NUM,57.14285714285714,500
PART,0.0,500
XX,0.0,500
N,77.64705882352942,750
VB,67.96407185628742,750
start,0.0,750
stop,0.0,750
PUNCT,0.0,750
PRO,96.42857142857144,750
ADV,83.42541436464089,750
P,93.3774834437086,750
D,88.28125,750
ADJ,45.37037037037037,750
PRO$,89.39393939393939,750
CONJ,94.44444444444444,750
C,69.23076923076923,750
Q,71.42857142857143,750
NEG,100.0,750
NUM,18.75,750
WH,62.5,750
XX,0.0,750
PART,0.0,750
N,85.42857142857143,1000
VB,69.81891348088531,1000
start,0.0,1000
stop,0.0,1000
PUNCT,0.0,1000
ADV,82.55813953488372,1000
PRO,94.73684210526316,1000
P,94.95412844036696,1000
D,89.0,1000
ADJ,56.25,1000
PRO$,92.04545454545456,1000
C,63.63636363636363,1000
CONJ,98.52941176470588,1000
Q,70.73170731707317,1000
NEG,94.28571428571428,1000
WH,41.66666666666667,1000
XX,0.0,1000
NUM,33.33333333333333,1000
N,83.90342052313883,1500
start,0.0,1500
stop,0.0,1500
VB,72.95423023578364,1500
PUNCT,0.0,1500
ADV,87.37623762376238,1500
PRO,95.8217270194986,1500
P,98.77675840978594,1500
D,80.76923076923077,1500
ADJ,60.5072463768116,1500
PRO$,88.63636363636364,1500
C,74.48979591836735,1500
