tag,accuracy,sample_size
N,51.47058823529412,250
VB,51.69491525423729,250
start,0.0,250
stop,0.0,250
PUNCT,0.0,250
P,75.38461538461539,250
PRO,94.64285714285714,250
D,58.18181818181818,250
ADV,46.80851063829788,250
CONJ,85.0,250
ADJ,17.647058823529413,250
C,77.77777777777779,250
Q,50.0,250
PRO$,53.84615384615385,250
NEG,83.33333333333334,250
PART,0.0,250
WH,0.0,250
XX,0.0,250
NUM,0.0,250
N,63.25088339222616,500
VB,52.71966527196653,500
start,0.0,500
stop,0.0,500
PUNCT,0.0,500
P,82.44274809160305,500
ADV,51.26050420168067,500
PRO,93.96551724137932,500
CONJ,96.29629629629628,500
D,80.0,500
ADJ,22.727272727272727,500
XX,0.0,500
C,69.23076923076923,500
PRO$,76.31578947368422,500
Q,61.11111111111112,500
NUM,31.25,500
NEG,100.0,500
PART,20.0,500
INTJ,0.0,500
WH,0.0,500
N,70.3125,750
VB,55.64738292011019,750
start,0.0,750
stop,0.0,750
PUNCT,0.0,750
P,84.65116279069768,750
PRO,90.35532994923858,750
ADV,64.77987421383648,750
D,84.81012658227847,750
CONJ,92.5233644859813,750
ADJ,32.98969072164948,750
C,71.69811320754717,750
PRO$,88.23529411764706,750
Q,66.66666666666666,750
XX,0.0,750
NEG,95.0,750
NUM,44.44444444444444,750
PART,25.0,750
WH,66.66666666666666,750
N,60.22727272727273,1000
VB,64.1025641025641,1000
start,0.0,1000
stop,0.0,1000
PUNCT,0.0,1000
P,85.22727272727273,1000
PRO,91.02040816326532,1000
D,81.34715025906736,1000
ADV,65.95744680851064,1000
CONJ,86.88524590163934,1000
ADJ,38.9937106918239,1000
C,76.62337662337663,1000
Q,69.64285714285714,1000
PRO$,91.66666666666666,1000
XX,0.0,1000
NEG,92.0,1000
NUM,57.14285714285714,1000
WH,38.46153846153847,1000
PART,25.0,1000
INTJ,0.0,1000
N,69.5800227014756,1500
VB,67.31343283582089,1500
start,0.0,1500
stop,0.0,1500
PUNCT,0.0,1500
P,84.88664987405542,1500
D,84.25655976676384,1500
CONJ,94.91525423728814,1500
PRO,93.21428571428572,1500
ADV,65.80882352941177,1500
ADJ,41.02564102564102,1500
Q,78.89908256880734,1500
C,76.14678899082568,1500
PRO$,96.42857142857144,1500
NUM,46.34146341463415,1500
NEG,100.0,1500
PART,31.57894736842105,1500
XX,0.0,1500
WH,75.0,1500
INTJ,0.0,1500
N,75.70422535211267,2000
VB,68.7007874015748,2000
start,0.0,2000
stop,0.0,2000
PUNCT,0.0,2000
P,86.98884758364312,2000
PRO,93.76299376299376,2000
D,75.52941176470588,2000
ADV,69.87654320987654,2000
CONJ,90.60773480662984,2000
ADJ,44.680851063829785,2000
C,92.65536723163842,2000
PRO$,89.58333333333334,2000
Q,83.7037037037037,2000
NUM,67.9245283018868,2000
NEG,100.0,2000
XX,0.0,2000
PART,21.052631578947366,2000
WH,75.0,2000
INTJ,16.666666666666664,2000
N,71.71572146446519,2500
VB,74.35897435897436,2500
start,0.0,2500
stop,0.0,2500
PUNCT,0.0,2500
P,84.92537313432837,2500
PRO,91.83303085299455,2500
D,80.41431261770245,2500
CONJ,91.68490153172868,2500
ADV,75.16629711751663,2500
ADJ,49.681528662420384,2500
C,94.9238578680203,2500
Q,76.37362637362637,2500
PRO$,88.46153846153845,2500
XX,0.0,2500
NUM,69.73684210526315,2500
NEG,88.13559322033898,2500
PART,58.620689655172406,2500
WH,76.92307692307693,2500
INTJ,0.0,2500
N,73.69327972429637,3000
VB,73.93860222077073,3000
start,0.0,3000
stop,0.0,3000
PUNCT,0.0,3000
P,87.12394705174489,3000
D,79.51289398280802,3000
PRO,93.21789321789322,3000
ADV,71.83333333333334,3000
CONJ,94.06307977736547,3000
ADJ,53.48837209302325,3000
C,86.05442176870748,3000
Q,83.33333333333334,3000
PRO$,95.81151832460732,3000
XX,0.0,3000
NUM,64.86486486486487,3000
NEG,90.76923076923076,3000
PART,52.77777777777778,3000
WH,58.333333333333336,3000
INTJ,50.0,3000
N,76.32754342431762,3500
VB,75.07098239636571,3500
start,0.0,3500
stop,0.0,3500
PUNCT,0.0,3500
P,87.93456032719837,3500
PRO,93.0317848410758,3500
D,85.44542032622334,3500
ADV,68.83308714918759,3500
CONJ,95.81320450885669,3500
ADJ,54.82456140350877,3500
C,79.36507936507937,3500
Q,85.35564853556485,3500
PRO$,95.7983193277311,3500
NUM,67.81609195402298,3500
XX,0.0,3500
NEG,98.63013698630137,3500
PART,60.526315789473685,3500
WH,77.27272727272727,3500
INTJ,33.33333333333333,3500
N,77.88417692658459,4000
VB,75.15212981744422,4000
start,0.0,4000
stop,0.0,4000
PUNCT,0.0,4000
P,87.62157382847037,4000
PRO,92.93361884368308,4000
D,77.79171894604768,4000
ADV,72.88776796973518,4000
CONJ,95.85185185185183,4000
ADJ,53.90070921985816,4000
C,91.1242603550296,4000
Q,85.65891472868216,4000
PRO$,93.22709163346612,4000
NUM,75.92592592592592,4000
NEG,98.94736842105264,4000
XX,0.0,4000
PART,57.44680851063831,4000
WH,94.28571428571428,4000
INTJ,37.5,4000
N,78.93162393162393,4500
VB,75.72861920688008,4500
start,0.0,4500
stop,0.0,4500
PUNCT,0.0,4500
P,87.22316865417376,4500
PRO,94.73161033797216,4500
D,78.48970251716247,4500
ADV,77.05112960761,4500
CONJ,93.00254452926208,4500
ADJ,52.21238938053098,4500
C,90.67796610169492,4500
Q,87.31884057971014,4500
PRO$,96.1089494163424,4500
XX,0.0,4500
NUM,75.29411764705883,4500
NEG,100.0,4500
PART,60.0,4500
WH,90.0,4500
INTJ,20.0,4500
N,78.57142857142857,5000
VB,77.92985457656117,5000
start,0.0,5000
stop,0.0,5000
PUNCT,0.0,5000
P,89.98371335504885,5000
PRO,95.37465309898242,5000
D,80.19323671497585,5000
ADV,72.23942208462333,5000
CONJ,92.73153575615474,5000
ADJ,59.71337579617835,5000
C,92.6829268292683,5000
Q,81.10749185667753,5000
PRO$,95.6953642384106,5000
XX,0.0,5000
NUM,80.83333333333333,5000
NEG,90.82568807339447,5000
PART,37.77777777777778,5000
WH,88.88888888888889,5000
INTJ,85.71428571428571,5000
N,79.71698113207547,7500
VB,81.64642375168691,7500
start,0.0,7500
stop,0.0,7500
PUNCT,0.0,7500
P,90.1421366345713,7500
PRO,91.93267556587348,7500
D,83.46361996392062,7500
ADV,76.12642905178211,7500
CONJ,95.67375886524825,7500
ADJ,63.67006487488415,7500
C,89.39873417721519,7500
PRO$,97.05882352941175,7500
Q,91.70212765957449,7500
XX,0.0,7500
NUM,86.33879781420765,7500
NEG,99.28057553956836,7500
PART,49.36708860759494,7500
WH,84.7457627118644,7500
INTJ,90.0,7500
N,85.77638671535385,10000
VB,80.54097698829229,10000
start,0.0,10000
stop,0.0,10000
PUNCT,0.0,10000
P,89.2416225749559,10000
PRO,93.7256598874946,10000
D,82.14607754733994,10000
ADV,78.34008097165992,10000
CONJ,94.4868995633188,10000
ADJ,63.08139534883721,10000
C,92.38636363636364,10000
PRO$,96.36098981077149,10000
Q,92.603550295858,10000
NUM,83.08823529411765,10000
NEG,96.1904761904762,10000
XX,0.0,10000
PART,62.96296296296296,10000
WH,89.85507246376811,10000
INTJ,87.5,10000
N,88.38341680578742,25000
VB,87.34433123079411,25000
start,0.0,25000
stop,0.0,25000
PUNCT,0.0,25000
P,88.20160366552119,25000
PRO,93.89012493582064,25000
D,82.45807997051779,25000
ADV,81.82185417087457,25000
CONJ,93.84113166485312,25000
ADJ,76.7909143855562,25000
C,94.66484268125856,25000
PRO$,98.17109144542772,25000
Q,95.29761904761904,25000
NUM,92.01807228915662,25000
NEG,99.8266897746967,25000
XX,0.0,25000
PART,65.35433070866141,25000
WH,93.93939393939394,25000
INTJ,79.3103448275862,25000
N,90.79505492513503,50000
start,0.0,50000
stop,0.0,50000
VB,89.61627175508492,50000
PUNCT,0.0,50000
P,88.79714349475563,50000
PRO,93.64182584521568,50000
D,80.22412656558998,50000
ADV,85.64282673478075,50000
CONJ,95.27168521988315,50000
ADJ,80.95961129668994,50000
C,97.53352490421456,50000
PRO$,98.54173130623644,50000
Q,95.78606158833064,50000
XX,0.0,50000
NUM,93.48159509202452,50000
NEG,100.0,50000
PART,65.48672566371681,50000
WH,93.35347432024167,50000
INTJ,90.47619047619048,50000
start,0.0,75000
stop,0.0,75000
N,92.15281114848632,75000
VB,90.89774869690584,75000
PUNCT,0.0,75000
P,87.11954124393472,75000
PRO,94.05799679772282,75000
D,85.4034957233172,75000
ADV,84.70084880270512,75000
CONJ,95.03572771718692,75000
ADJ,83.57933579335793,75000
C,97.67774773341816,75000
PRO$,99.05174190888476,75000
Q,95.07503699006551,75000
NUM,95.33572526909278,75000
XX,0.0,75000
NEG,99.87365761212888,75000
PART,69.38775510204081,75000
WH,94.0329218106996,75000
INTJ,91.13924050632912,75000
start,0.0,100000
stop,0.0,100000
N,92.94631822171272,100000
VB,91.52657882780554,100000
