tag,accuracy,sample_size
VB,55.85585585585585,250
N,54.807692307692314,250
PUNCT,0.0,250
PRO,93.22033898305084,250
P,81.13207547169812,250
start,0.0,250
stop,0.0,250
CONJ,100.0,250
ADV,65.71428571428571,250
D,66.66666666666666,250
C,83.33333333333334,250
ADJ,42.857142857142854,250
Q,53.84615384615385,250
NEG,100.0,250
XX,0.0,250
PART,0.0,250
NUM,50.0,250
WH,0.0,250
N,59.09090909090909,500
VB,65.13409961685824,500
PUNCT,0.0,500
PRO,90.14084507042254,500
P,88.9908256880734,500
start,0.0,500
stop,0.0,500
ADV,86.04651162790698,500
CONJ,97.61904761904762,500
C,88.73239436619718,500
D,75.51020408163265,500
ADJ,13.636363636363635,500
Q,59.375,500
XX,0.0,500
PART,31.57894736842105,500
NEG,90.0,500
NUM,0.0,500
WH,25.0,500
VB,67.87564766839378,750
N,66.93548387096774,750
PRO,92.78846153846155,750
PUNCT,0.0,750
P,89.08045977011494,750
start,0.0,750
stop,0.0,750
CONJ,98.51851851851852,750
ADV,82.83582089552239,750
C,90.58823529411765,750
D,80.0,750
ADJ,27.450980392156865,750
XX,0.0,750
Q,63.33333333333333,750
PART,39.130434782608695,750
NEG,100.0,750
NUM,0.0,750
WH,0.0,750
INTJ,0.0,750
N,76.8642447418738,1000
VB,68.93787575150301,1000
PUNCT,0.0,1000
PRO,93.60902255639097,1000
P,87.1559633027523,1000
start,0.0,1000
stop,0.0,1000
ADV,82.19895287958116,1000
CONJ,96.36363636363636,1000
D,73.58490566037736,1000
C,88.0,1000
ADJ,23.28767123287671,1000
XX,0.0,1000
Q,64.70588235294117,1000
PART,41.66666666666667,1000
NEG,96.42857142857143,1000
NUM,23.076923076923077,1000
WH,100.0,1000
VB,73.52941176470588,1500
N,77.85326086956522,1500
PRO,93.79157427937915,1500
PUNCT,0.0,1500
P,84.80662983425414,1500
start,0.0,1500
stop,0.0,1500
ADV,81.17154811715481,1500
CONJ,99.11504424778761,1500
C,96.12903225806451,1500
D,84.31372549019608,1500
ADJ,29.1044776119403,1500
Q,84.72222222222221,1500
PART,52.94117647058824,1500
XX,0.0,1500
NEG,94.73684210526315,1500
NUM,64.28571428571429,1500
WH,83.33333333333334,1500
INTJ,0.0,1500
N,75.77413479052824,2000
VB,77.54519505233112,2000
PRO,93.12080536912751,2000
PUNCT,0.0,2000
P,88.12877263581488,2000
start,0.0,2000
stop,0.0,2000
ADV,88.12664907651715,2000
CONJ,98.20359281437125,2000
C,89.45147679324894,2000
D,87.192118226601,2000
ADJ,30.49645390070922,2000
Q,71.68141592920354,2000
XX,0.0,2000
PART,35.9375,2000
NEG,97.95918367346938,2000
NUM,32.0,2000
WH,47.05882352941176,2000
INTJ,0.0,2000
N,83.08157099697885,2500
VB,75.73872472783826,2500
PUNCT,0.0,2500
PRO,94.24083769633508,2500
start,0.0,2500
stop,0.0,2500
P,85.40925266903915,2500
ADV,89.06605922551253,2500
CONJ,98.2885085574572,2500
C,93.44262295081968,2500
D,81.49606299212599,2500
ADJ,36.15023474178404,2500
Q,78.94736842105263,2500
XX,0.0,2500
PART,48.03921568627451,2500
NEG,96.66666666666667,2500
NUM,64.70588235294117,2500
WH,87.5,2500
N,80.75262183837137,3000
VB,76.98664971392245,3000
PUNCT,0.0,3000
PRO,92.44186046511628,3000
start,0.0,3000
stop,0.0,3000
P,88.99456521739131,3000
ADV,89.96212121212122,3000
CONJ,98.72068230277186,3000
D,82.35294117647058,3000
C,96.24277456647398,3000
ADJ,39.682539682539684,3000
Q,80.12048192771084,3000
XX,0.0,3000
PART,48.69565217391305,3000
NEG,97.70114942528735,3000
NUM,55.00000000000001,3000
WH,84.0,3000
INTJ,0.0,3000
N,80.4772234273319,3500
VB,79.62220950200344,3500
start,0.0,3500
stop,0.0,3500
PUNCT,0.0,3500
PRO,93.13824419778001,3500
P,85.67931456548348,3500
ADV,89.63210702341136,3500
CONJ,98.70370370370371,3500
C,94.8849104859335,3500
D,80.38147138964578,3500
ADJ,42.12218649517685,3500
Q,76.3975155279503,3500
XX,0.0,3500
PART,53.21100917431193,3500
NEG,96.29629629629629,3500
WH,64.0,3500
NUM,65.21739130434783,3500
INTJ,0.0,3500
N,82.1811100292113,4000
VB,77.65694513099358,4000
start,0.0,4000
stop,0.0,4000
PUNCT,0.0,4000
PRO,95.38188277087033,4000
P,90.2073732718894,4000
ADV,88.70967741935483,4000
CONJ,98.34983498349835,4000
C,98.56459330143541,4000
D,86.8421052631579,4000
ADJ,42.582417582417584,4000
Q,85.71428571428571,4000
XX,0.0,4000
PART,44.53125,4000
NEG,96.84210526315789,4000
NUM,69.6969696969697,4000
WH,70.37037037037037,4000
INTJ,0.0,4000
VB,79.01396160558464,4500
N,87.2301332108406,4500
start,0.0,4500
stop,0.0,4500
PRO,95.03257328990227,4500
PUNCT,0.0,4500
P,87.78325123152709,4500
ADV,89.45362134688692,4500
CONJ,97.75784753363229,4500
C,94.14141414141413,4500
D,81.79871520342613,4500
ADJ,42.028985507246375,4500
Q,86.0082304526749,4500
XX,0.0,4500
PART,49.645390070921984,4500
NEG,100.0,4500
NUM,61.702127659574465,4500
WH,71.875,4500
N,82.33282674772036,5000
VB,80.26211278792694,5000
start,0.0,5000
stop,0.0,5000
PUNCT,0.0,5000
PRO,93.37883959044369,5000
P,87.8682842287695,5000
ADV,90.61784897025171,5000
CONJ,95.3764861294584,5000
C,98.42657342657343,5000
D,84.7953216374269,5000
ADJ,54.0,5000
Q,82.74509803921568,5000
XX,0.0,5000
PART,50.57471264367817,5000
NEG,97.22222222222221,5000
NUM,67.79661016949152,5000
WH,76.47058823529412,5000
INTJ,0.0,5000
N,89.59345435949885,7500
VB,80.54889421795896,7500
start,0.0,7500
stop,0.0,7500
PRO,96.07565011820331,7500
PUNCT,0.0,7500
P,87.02857142857144,7500
ADV,89.46576373212942,7500
CONJ,98.42381786339755,7500
D,82.73878020713464,7500
C,96.40371229698376,7500
ADJ,49.84025559105431,7500
Q,86.60049627791562,7500
XX,0.0,7500
PART,45.57522123893805,7500
NEG,99.49748743718592,7500
NUM,79.36507936507937,7500
WH,80.0,7500
start,0.0,10000
stop,0.0,10000
N,87.98662996460874,10000
VB,83.18018377946464,10000
PUNCT,0.0,10000
PRO,96.51865008880995,10000
P,83.85438972162741,10000
ADV,90.4358353510896,10000
CONJ,99.24764890282131,10000
C,98.35916134913401,10000
D,83.62573099415205,10000
ADJ,60.46228710462287,10000
Q,84.96868475991648,10000
XX,0.0,10000
PART,54.17867435158501,10000
NEG,97.90794979079497,10000
NUM,84.26966292134831,10000
WH,76.66666666666667,10000
INTJ,0.0,10000
start,0.0,20000
stop,0.0,20000
N,90.73724007561437,20000
VB,84.96893184732222,20000
PUNCT,0.0,20000
PRO,97.3936170212766,20000
P,87.90166055639422,20000
ADV,92.95254333617505,20000
CONJ,99.07081063761615,20000
C,98.60924181247196,20000
D,83.97052049746661,20000
ADJ,66.2621359223301,20000
Q,89.65517241379311,20000
XX,0.0,20000
PART,52.59365994236311,20000
NEG,98.2107355864811,20000
NUM,81.59203980099502,20000
WH,90.07633587786259,20000
INTJ,57.14285714285714,20000
start,0.0,21847
stop,0.0,21847
N,90.89952656496581,21847
VB,85.07247681642207,21847
PUNCT,0.0,21847
PRO,96.62063363119415,21847
P,86.92647341140334,21847
ADV,92.95884027957545,21847
CONJ,98.70091526424565,21847
C,99.31754315535929,21847
D,83.06832831972497,21847
ADJ,67.7863436123348,21847
Q,87.96718322698268,21847
XX,0.0,21847
PART,50.936329588014985,21847
NEG,99.20477137176938,21847
NUM,88.34080717488789,21847
WH,81.61764705882352,21847
INTJ,50.0,21847
start,0.0,250
stop,0.0,250
N,55.72519083969466,250
VB,57.27272727272727,250
PRO,91.42857142857143,250
PUNCT,0.0,250
P,82.22222222222221,250
CONJ,100.0,250
ADV,70.0,250
D,68.18181818181817,250
C,94.44444444444444,250
XX,0.0,250
ADJ,7.6923076923076925,250
Q,27.27272727272727,250
PART,0.0,250
NUM,0.0,250
NEG,100.0,250
WH,0.0,250
start,0.0,500
stop,0.0,500
N,64.9402390438247,500
VB,64.08163265306122,500
PUNCT,0.0,500
PRO,90.06211180124224,500
P,85.56701030927834,500
ADV,74.11764705882354,500
CONJ,100.0,500
C,86.88524590163934,500
D,65.21739130434783,500
Q,52.94117647058824,500
ADJ,14.705882352941178,500
XX,0.0,500
PART,46.666666666666664,500
NEG,100.0,500
WH,75.0,500
NUM,0.0,500
start,0.0,750
stop,0.0,750
N,70.66666666666667,750
VB,70.6989247311828,750
PUNCT,0.0,750
PRO,89.78494623655914,750
P,86.1271676300578,750
ADV,82.17054263565892,750
CONJ,100.0,750
C,89.1566265060241,750
D,83.9506172839506,750
ADJ,15.789473684210526,750
Q,75.60975609756098,750
XX,0.0,750
PART,44.44444444444444,750
NEG,86.66666666666667,750
NUM,7.6923076923076925,750
WH,20.0,750
start,0.0,1000
stop,0.0,1000
N,68.16546762589928,1000
VB,74.76459510357816,1000
PRO,92.54237288135593,1000
PUNCT,0.0,1000
P,84.86055776892431,1000
ADV,81.18279569892472,1000
CONJ,100.0,1000
C,88.23529411764706,1000
D,72.07207207207207,1000
ADJ,20.0,1000
Q,67.85714285714286,1000
XX,0.0,1000
PART,37.5,1000
NEG,88.23529411764706,1000
WH,44.44444444444444,1000
NUM,12.5,1000
start,0.0,1500
stop,0.0,1500
N,74.90589711417816,1500
VB,76.48686030428769,1500
PUNCT,0.0,1500
PRO,95.46599496221663,1500
P,89.12386706948641,1500
CONJ,97.6,1500
ADV,78.38983050847457,1500
D,84.88372093023256,1500
C,92.72727272727272,1500
ADJ,39.49579831932773,1500
Q,73.75,1500
XX,0.0,1500
PART,31.48148148148148,1500
NEG,100.0,1500
NUM,36.36363636363637,1500
WH,14.285714285714285,1500
INTJ,0.0,1500
start,0.0,2000
stop,0.0,2000
N,82.31540565177757,2000
VB,74.2544731610338,2000
PUNCT,0.0,2000
PRO,94.53551912568307,2000
P,85.1153039832285,2000
ADV,86.68639053254438,2000
CONJ,97.07792207792207,2000
D,79.0909090909091,2000
C,90.99526066350711,2000
ADJ,28.65853658536585,2000
XX,0.0,2000
Q,75.9493670886076,2000
PART,50.0,2000
NEG,95.45454545454545,2000
NUM,5.88235294117647,2000
WH,78.57142857142857,2000
INTJ,0.0,2000
start,0.0,2500
stop,0.0,2500
N,83.7471783295711,2500
VB,72.83671933784801,2500
PUNCT,0.0,2500
PRO,96.2655601659751,2500
P,90.66901408450704,2500
ADV,84.57943925233646,2500
CONJ,96.68367346938776,2500
C,91.55844155844156,2500
D,80.5668016194332,2500
ADJ,29.577464788732392,2500
Q,80.0,2500
XX,0.0,2500
PART,43.75,2500
NEG,100.0,2500
NUM,72.72727272727273,2500
WH,61.904761904761905,2500
INTJ,0.0,2500
start,0.0,3000
stop,0.0,3000
VB,79.1117279666898,3000
N,77.08479327259987,3000
PUNCT,0.0,3000
PRO,91.42185663924795,3000
P,85.77981651376146,3000
ADV,86.09523809523809,3000
CONJ,99.31818181818181,3000
D,87.9746835443038,3000
C,92.33226837060703,3000
ADJ,47.78761061946903,3000
XX,0.0,3000
Q,78.66666666666666,3000
PART,48.421052631578945,3000
NEG,98.38709677419355,3000
NUM,30.434782608695656,3000
WH,92.3076923076923,3000
INTJ,0.0,3000
start,0.0,3500
stop,0.0,3500
N,79.16440586001086,3500
VB,77.98777098387994,3500
PUNCT,0.0,3500
PRO,94.86673247778874,3500
P,87.27064220183486,3500
ADV,87.07165109034268,3500
CONJ,98.91891891891892,3500
C,93.59605911330048,3500
